DISPLAY_FIRST_LAST,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
Alaa Abdelnaby,"Abdelnaby, Alaa",1990,Y,0,76001,HISTADD_alaa_abdelnaby,0,,,,0,,1994
Zaid Abdul-Aziz,"Abdul-Aziz, Zaid",1968,Y,0,76002,HISTADD_zaid_abdul-aziz,0,,,,0,,1977
Kareem Abdul-Jabbar,"Abdul-Jabbar, Kareem",1969,Y,0,76003,HISTADD_kareem_abdul-jabbar,0,,,,0,,1988
Mahmoud Abdul-Rauf,"Abdul-Rauf, Mahmoud",1990,Y,0,51,mahmoud_abdul-rauf,0,,,,0,,2000
Tariq Abdul-Wahad,"Abdul-Wahad, Tariq",1997,Y,0,1505,tariq_abdul-wahad,0,,,,0,,2003
Shareef Abdur-Rahim,"Abdur-Rahim, Shareef",1996,Y,0,949,shareef_abdur-rahim,0,,,,0,,2007
Tom Abernethy,"Abernethy, Tom",1976,Y,0,76005,HISTADD_tom_abernethy,0,,,,0,,1980
Forest Able,"Able, Forest",1956,Y,0,76006,HISTADD_frosty_able,0,,,,0,,1956
John Abramovic,"Abramovic, John",1946,Y,0,76007,HISTADD_brooms_abramovic,0,,,,0,,1947
Alex Abrines,"Abrines, Alex",2016,Y,0,203518,alex_abrines,0,,,,0,,2018
Alex Acker,"Acker, Alex",2005,Y,1,101165,alex_acker,0,,,,0,,2008
Donald Ackerman,"Ackerman, Donald",1953,Y,0,76008,HISTADD_buddy_ackerman,0,,,,0,,1953
Mark Acres,"Acres, Mark",1987,Y,0,76009,HISTADD_mark_acres,0,,,,0,,1992
Charles Acton,"Acton, Charles",1967,Y,0,76010,HISTADD_bud_acton,0,,,,0,,1967
Quincy Acy,"Acy, Quincy",2012,Y,1,203112,quincy_acy,1,SAC,Sacramento,kings,1610612758,Kings,2018
Alvan Adams,"Adams, Alvan",1975,Y,0,76011,HISTADD_alvan_adams,0,,,,0,,1987
Don Adams,"Adams, Don",1970,Y,0,76012,HISTADD_don_adams,0,,,,0,,1976
Hassan Adams,"Adams, Hassan",2006,Y,0,200801,hassan_adams,0,,,,0,,2008
Jaylen Adams,"Adams, Jaylen",2018,Y,1,1629121,jaylen_adams,0,,,,0,,2018
Jordan Adams,"Adams, Jordan",2014,Y,1,203919,jordan_adams,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
Michael Adams,"Adams, Michael",1985,Y,0,149,michael_adams,0,,,,0,,1995
Steven Adams,"Adams, Steven",2013,Y,0,203500,steven_adams,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2018
Rafael Addison,"Addison, Rafael",1986,Y,0,912,rafael_addison,0,,,,0,,1996
Bam Adebayo,"Adebayo, Bam",2017,Y,0,1628389,bam_adebayo,0,,,,0,,2018
Deng Adel,"Adel, Deng",2018,Y,1,1629061,deng_adel,0,,,,0,,2018
Rick Adelman,"Adelman, Rick",1968,Y,0,76015,HISTADD_rick_adelman,0,,,,0,,1974
Jeff Adrien,"Adrien, Jeff",2010,Y,1,202399,jeff_adrien,0,,,,0,,2014
Arron Afflalo,"Afflalo, Arron",2007,Y,0,201167,arron_afflalo,1,NYK,New York,knicks,1610612752,Knicks,2017
Maurice Ager,"Ager, Maurice",2006,Y,1,200772,maurice_ager,0,,,,0,,2010
Mark Aguirre,"Aguirre, Mark",1981,Y,0,76016,HISTADD_mark_aguirre,0,,,,0,,1993
Blake Ahearn,"Ahearn, Blake",2007,Y,1,201336,blake_ahearn,0,,,,0,,2011
Danny Ainge,"Ainge, Danny",1981,Y,0,76017,HISTADD_danny_ainge,0,,,,0,,1994
Alexis Ajinca,"Ajinca, Alexis",2008,Y,1,201582,alexis_ajinca,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2017
Henry Akin,"Akin, Henry",1966,Y,0,76018,HISTADD_henry_akin,0,,,,0,,1967
Josh Akognon,"Akognon, Josh",2012,Y,1,203006,josh_akognon,0,,,,0,,2012
DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",2018,Y,1,1629152,devaughn_akoon-purcell,0,,,,0,,2018
Solomon Alabi,"Alabi, Solomon",2010,Y,1,202374,solomon_alabi,0,,,,0,,2011
Mark Alarie,"Alarie, Mark",1986,Y,0,76019,HISTADD_mark_alarie,0,,,,0,,1990
Gary Alcorn,"Alcorn, Gary",1959,Y,0,76020,HISTADD_gary_alcorn,0,,,,0,,1960
Furkan Aldemir,"Aldemir, Furkan",2014,Y,0,203128,furkan_aldemir,0,,,,0,,2014
Cole Aldrich,"Aldrich, Cole",2010,Y,1,202332,cole_aldrich,1,LAC,LA,clippers,1610612746,Clippers,2017
LaMarcus Aldridge,"Aldridge, LaMarcus",2006,Y,0,200746,lamarcus_aldridge,1,SAS,San Antonio,spurs,1610612759,Spurs,2018
Chuck Aleksinas,"Aleksinas, Chuck",1984,Y,0,76021,HISTADD_chuck_aleksinas,0,,,,0,,1984
Cliff Alexander,"Alexander, Cliff",2015,Y,11,1626146,cliff_alexander,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
Cory Alexander,"Alexander, Cory",1995,Y,0,724,cory_alexander,0,,,,0,,2004
Courtney Alexander,"Alexander, Courtney",2000,Y,0,2042,courtney_alexander,0,,,,0,,2003
Gary Alexander,"Alexander, Gary",1993,Y,0,76022,HISTADD_gary_alexander,0,,,,0,,1993
Joe Alexander,"Alexander, Joe",2008,Y,1,201570,joe_alexander,0,,,,0,,2009
Victor Alexander,"Alexander, Victor",1991,Y,0,2349,victor_alexander,0,,,,0,,2001
Steve Alford,"Alford, Steve",1987,Y,0,76024,HISTADD_steve_alford,0,,,,0,,1990
Rawle Alkins,"Alkins, Rawle",2018,Y,1,1628959,rawle_alkins,0,,,,0,,2018
Bob Allen,"Allen, Bob",1968,Y,0,76028,HISTADD_bob_allen,0,,,,0,,1968
Grayson Allen,"Allen, Grayson",2018,Y,1,1628960,grayson_allen,0,,,,0,,2018
